et%1:06:00:: , correct is target%1:09:00::
correct wsd for target.n.bnc.1447 target%1:10:00::
correct 6 | total 102
linkup key running.n.Finance.26 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.39 | found run%2:42:00:: , correct is running%1:04:03::
linkup key running.n.bnc.73 not found in gold standard clean dataset
linkup key running.n.Finance.28 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.42 | found run%2:35:04:: , correct is running%1:26:00::
incorrect wsd for running.n.bnc.74 | found run%2:38:11:: , correct is running%1:04:02::
linkup key running.n.Finance.29 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.47 | found track%1:04:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.77 | found run%2:38:11:: , correct is running%1:26:00::
linkup key running.n.Finance.30 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.53 | found campaign%2:33:01:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.79 | found run%2:38:11:: , correct is running%1:04:02::
linkup key running.n.Finance.34 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.55 | found run%2:38:00:: , correct is running%1:04:03::
incorrect wsd for running.n.bnc.89 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.39 | found run%2:42:00:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.58 | found track%1:04:00:: , correct is running%1:04:03::
linkup key running.n.bnc.90 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.40 | found track%1:04:00:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.60 | found run%2:38:11:: , correct is running%1:04:03::
incorrect wsd for running.n.bnc.96 | found track%1:04:00:: , correct is running%1:04:00::
linkup key running.n.Finance.43 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.67 | found track%1:04:00:: , correct is running%1:04:03::
incorrect wsd for running.n.bnc.108 | found run%2:38:11:: , correct is running%1:04:00::
linkup key running.n.Finance.44 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.70 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.109 | found tend%2:42:01:: , correct is running%1:04:00::
linkup key running.n.Finance.46 not found in gold standard clean dataset
linkup key running.n.Sports.73 not found in gold standard clean dataset
incorrect wsd for running.n.bnc.115 | found range%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.Finance.48 | found run%2:38:11:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.78 | found run%2:38:00:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.124 | found run%2:38:11:: , correct is running%1:04:02::
linkup key running.n.Finance.50 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.82 | found run%2:42:02:: , correct is unlisted-sense
linkup key running.n.bnc.128 not found in gold standard clean dataset
linkup key running.n.Finance.52 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.83 | found run%2:42:00:: , correct is unlisted-sense
linkup key running.n.bnc.129 not found in gold standard clean dataset
linkup key running.n.Finance.54 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.85 | found track%1:04:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.133 | found run%2:38:00:: , correct is running%1:04:01::
incorrect wsd for running.n.Finance.56 | found run%2:42:00:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.91 | found run%2:38:04:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.139 | found melt%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.57 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.94 | found play%2:36:05:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.143 | found melt%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.58 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.95 | found run%2:38:04:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.144 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.61 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.96 | found ladder%2:30:00:: , correct is running%1:04:01::
linkup key running.n.bnc.148 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.62 | found range%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.97 | found run%2:38:11:: , correct is running%1:04:03::
incorrect wsd for running.n.bnc.154 | found run%2:42:02:: , correct is running%1:04:01::
linkup key running.n.Finance.65 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.100 | found run%2:42:00:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.178 | found range%2:42:01:: , correct is running%1:04:01::
linkup key running.n.Finance.66 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.101 | found run%2:42:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.180 | found run%2:38:11:: , correct is unlisted-sense
linkup key running.n.Finance.67 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.106 | found move%2:30:01:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.181 | found tend%2:42:01:: , correct is running%1:04:01::
linkup key running.n.Finance.69 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.107 | found tend%2:42:01:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.191 | found tend%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.70 | found melt%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.109 | found tend%2:42:01:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.192 | found play%2:36:05:: , correct is running%1:04:02::
linkup key running.n.Finance.71 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.112 | found run%2:38:11:: , correct is running%1:04:03::
linkup key running.n.bnc.195 not found in gold standard clean dataset
linkup key running.n.Finance.72 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.113 | found run%2:38:11:: , correct is running%1:04:03::
incorrect wsd for running.n.bnc.201 | found tend%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.73 | found run%2:38:00:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.118 | found move%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.204 | found run%2:38:11:: , correct is running%1:04:02::
linkup key running.n.Finance.75 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.120 | found track%1:04:00:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.205 | found run%2:42:02:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.79 | found run%2:38:05:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.121 | found run%2:42:02:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.206 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.81 | found tend%2:42:01:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.125 | found play%2:36:05:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.207 | found play%2:36:05:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.86 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.132 | found run%2:38:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.212 | found run%2:42:02:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.87 | found move%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.134 | found run%2:38:00:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.218 | found tend%2:42:01:: , correct is running%1:04:02::
linkup key running.n.Finance.88 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.135 | found track%1:04:00:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.225 | found tend%2:42:01:: , correct is unlisted-sense
linkup key running.n.Finance.89 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.136 | found run%2:38:04:: , correct is running%1:04:02::
linkup key running.n.bnc.239 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.90 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.141 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.245 | found tend%2:42:01:: , correct is running%1:04:01::
incorrect wsd for running.n.Finance.91 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.143 | found run%2:38:05:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.246 | found run%2:38:05:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.92 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.146 | found run%2:42:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.248 | found run%2:42:02:: , correct is running%1:04:01::
linkup key running.n.Finance.94 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.151 | found track%1:04:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.255 | found move%2:30:01:: , correct is running%1:26:00::
linkup key running.n.Finance.98 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.154 | found run%2:38:11:: , correct is running%1:04:00::
linkup key running.n.bnc.257 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.99 | found move%2:30:01:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.159 | found running%3:00:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.258 | found run%2:42:02:: , correct is running%1:26:00::
linkup key running.n.Finance.104 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.162 | found running%1:04:02:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.260 | found run%2:35:04:: , correct is running%1:26:00::
incorrect wsd for running.n.Finance.112 | found melt%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.163 | found run%2:42:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.261 | found run%2:35:04:: , correct is running%1:26:00::
incorrect wsd for running.n.Finance.115 | found run%2:38:11:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.168 | found ladder%2:30:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.268 | found run%2:35:04:: , correct is running%1:26:00::
linkup key running.n.Finance.118 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.171 | found run%1:04:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.270 | found track%1:04:00:: , correct is running%1:04:03::
linkup key running.n.Finance.121 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.174 | found move%2:30:01:: , correct is unlisted-sense
linkup key running.n.bnc.271 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.123 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.176 | found move%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.283 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.124 | found run%2:42:02:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.178 | found track%1:04:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.291 | found move%2:30:01:: , correct is running%1:26:00::
linkup key running.n.Finance.126 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.179 | found ladder%2:30:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.292 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.128 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.182 | found play%2:36:05:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.300 | found run%2:42:02:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.129 | found run%2:35:04:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.183 | found run%2:38:00:: , correct is running%1:04:01::
linkup key running.n.bnc.304 not found in gold standard clean dataset
linkup key running.n.Finance.131 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.184 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.305 | found run%2:38:11:: , correct is running%1:04:01::
incorrect wsd for running.n.Finance.132 | found run%2:38:05:: , correct is running%1:04:01::
incorrect wsd for running.n.Sports.196 | found run%2:38:00:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.308 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.140 | found run%2:42:02:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.200 | found run%2:42:00:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.313 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.141 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.203 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.315 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.143 | found track%1:04:00:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.209 | found play%2:36:05:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.317 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.144 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.213 | found run%2:38:11:: , correct is running%1:04:03::
incorrect wsd for running.n.bnc.318 | found run%2:42:00:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.149 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.220 | found run%2:38:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.340 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.151 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.224 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.344 | found run%2:42:00:: , correct is running%1:04:02::
linkup key running.n.Finance.154 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.225 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.350 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.157 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.226 | found ladder%2:30:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.352 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.160 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.238 | found track%1:04:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.357 | found run%2:38:11:: , correct is running%1:04:01::
incorrect wsd for running.n.Finance.161 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.243 | found run%2:38:05:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.362 | found tend%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.162 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.250 | found tend%2:42:01:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.364 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.164 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.259 | found run%2:38:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.366 | found run%1:04:00:: , correct is running%1:26:00::
incorrect wsd for running.n.Finance.166 | found melt%2:30:01:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.262 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.368 | found range%2:42:01:: , correct is running%1:04:01::
linkup key running.n.Finance.167 not found in gold standard clean dataset
linkup key running.n.Sports.267 not found in gold standard clean dataset
incorrect wsd for running.n.bnc.373 | found run%2:38:00:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.170 | found move%2:30:01:: , correct is running%1:26:00::
linkup key running.n.Sports.273 not found in gold standard clean dataset
incorrect wsd for running.n.bnc.377 | found move%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.Finance.174 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.274 | found run%2:38:00:: , correct is running%1:26:00::
incorrect wsd for running.n.bnc.378 | found run%2:38:11:: , correct is running%1:04:01::
incorrect wsd for running.n.Finance.176 | found run%2:38:11:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.277 | found track%1:04:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.379 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.178 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.278 | found run%2:38:11:: , correct is unlisted-sense
linkup key running.n.bnc.385 not found in gold standard clean dataset
linkup key running.n.Finance.179 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.281 | found track%1:04:00:: , correct is running%1:04:01::
correct wsd for running.n.bnc.390 running%1:04:02::
correct 149 | total 1380
linkup key running.n.Finance.180 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.285 | found tend%2:42:01:: , correct is running%1:26:00::
incorrect wsd for running.n.bnc.403 | found play%2:36:05:: , correct is unlisted-sense
linkup key running.n.Finance.181 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.287 | found run%2:38:11:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.416 | found move%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.182 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.289 | found run%2:35:04:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.417 | found move%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.184 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.294 | found run%2:42:00:: , correct is unlisted-sense
incorrect wsd for running.n.Finance.187 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.296 | found run%2:38:04:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.425 | found run%2:38:00:: , correct is running%1:04:03::
incorrect wsd for running.n.Finance.189 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.299 | found run%2:38:11:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.426 | found melt%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.192 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.300 | found run%2:38:11:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.427 | found melt%2:30:01:: , correct is running%1:26:00::
incorrect wsd for running.n.Finance.193 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.303 | found run%2:42:02:: , correct is running%1:04:01::
linkup key running.n.bnc.429 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.196 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.307 | found run%2:38:11:: , correct is running%1:04:03::
linkup key running.n.bnc.435 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.198 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.308 | found run%2:38:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.437 | found move%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.200 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.310 | found ladder%2:30:00:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.439 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.Finance.209 | found move%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.315 | found run%2:38:11:: , correct is running%1:04:01::
linkup key running.n.bnc.443 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.210 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.320 | found track%1:04:00:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.446 | found tend%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.211 | found tend%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.324 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.bnc.447 | found melt%2:30:01:: , correct is running%1:04:02::
linkup key running.n.Finance.215 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.332 | found tend%2:42:01:: , correct is unlisted-sense
incorrect wsd for running.n.bnc.448 | found run%2:42:00:: , correct is running%1:04:02::
linkup key running.n.Finance.216 not found in gold standard clean dataset
incorrect wsd for running.n.Sports.335 | found run%2:38:00:: , correct is running%1:04:00::
incorrect wsd for running.n.bnc.451 | found melt%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.217 | found melt%2:30:01:: , correct is unlisted-sense
incorrect wsd for running.n.Sports.339 | found run%2:38:00:: , correct is running%1:04:00::
linkup key running.n.bnc.454 not found in gold standard clean dataset
incorrect wsd for running.n.Finance.220 | found run%2:42:02:: , correct is running%1:26:00::
incorrect wsd for running.n.Sports.341 | found run%2:42:00:: , correct is running%1:04:01::
incorrect wsd for running.n.bnc.461 | found move%2:30:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.221 | found run%2:38:11:: , correct is running%1:04:02::
incorrect wsd for running.n.Sports.347 | found run%2:38:00:: , correct is running%1:26:00::
incorrect wsd for running.n.bnc.467 | found range%2:42:01:: , correct is running%1:04:02::
incorrect wsd for running.n.Finance.222 | found tend%2:42:01:: , correct is unlisted-sense
linkup key running.n.Sports.353 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.9 | found savings_bank%1:06:00:: , correct is bank%1:14:01::
incorrect wsd for bank.n.Finance.29 | found bank%1:17:02:: , correct is bank%1:14:00::
linkup key bank.n.Sports.3 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.98 | found bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.633 | found bank%1:17:02:: , correct is bank%1:14:00::
linkup key bank.n.Sports.6 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.110 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.1259 | found bank%1:17:02:: , correct is bank%1:14:00::
linkup key bank.n.Sports.8 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.200 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.1865 | found bank%1:17:02:: , correct is bank%1:14:00::
linkup key bank.n.Sports.10 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.259 | found bank%2:40:02:: , correct is bank%1:14:00::
linkup key bank.n.Finance.2414 not found in gold standard clean dataset
linkup key bank.n.Sports.12 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.339 | found bank%1:21:00:: , correct is bank%1:17:00::
incorrect wsd for bank.n.Finance.2538 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.21 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.391 | found bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.2844 | found not found , correct is bank%1:14:00::
linkup key bank.n.Sports.23 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.406 | found savings_bank%1:06:00:: , correct is bank%1:14:01::
incorrect wsd for bank.n.Finance.3242 | found bank%1:21:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.28 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.418 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.3308 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.33 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.430 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.3657 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.35 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.441 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.3938 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.41 | found bank%1:21:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.506 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.4385 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.45 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.585 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.5217 | found bank%1:21:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.58 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.607 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.6222 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.65 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.822 | found bank%2:35:00:: , correct is bank%1:17:01::
incorrect wsd for bank.n.Finance.6405 | found not found , correct is bank%1:14:00::
linkup key bank.n.Sports.69 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.844 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.7093 | found bank%2:40:02:: , correct is bank%1:14:00::
linkup key bank.n.Sports.70 not found in gold standard clean dataset
correct wsd for bank.n.bnc.895 bank%1:17:01::
correct 150 | total 1466
incorrect wsd for bank.n.Finance.8519 | found not found , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.72 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.901 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.9411 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.73 | found savings_bank%1:06:00:: , correct is bank%1:06:00::
incorrect wsd for bank.n.bnc.903 | found bank%1:21:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.9768 | found not found , correct is bank%1:14:00::
linkup key bank.n.Sports.79 not found in gold standard clean dataset
incorrect wsd for bank.n.bnc.936 | found bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.10271 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.86 | found not found , correct is bank%1:06:00::
incorrect wsd for bank.n.bnc.967 | found bank%1:17:02:: , correct is bank%1:17:01::
incorrect wsd for bank.n.Finance.10586 | found bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.87 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.978 | found depository_financial_institution%1:14:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.12279 | found bank%1:17:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.88 | found bank%1:17:02:: , correct is bank%1:06:00::
incorrect wsd for bank.n.bnc.992 | found depository_financial_institution%1:14:00:: , correct is bank%1:14:00::
linkup key bank.n.Finance.12712 not found in gold standard clean dataset
incorrect wsd for bank.n.Sports.91 | found not found , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.1065 | found bank%1:17:02:: , correct is bank%1:14:00::
linkup key bank.n.Finance.13616 not found in gold standard clean dataset
incorrect wsd for bank.n.Sports.95 | found not found , correct is bank%1:14:00::
linkup key bank.n.bnc.1119 not found in gold standard clean dataset
incorrect wsd for bank.n.Finance.13639 | found bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.100 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.1353 | found bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Finance.13774 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.101 | found savings_bank%1:06:00:: , correct is bank%1:14:00::
incorrect wsd for bank.n.bnc.1365 | found bank%1:17:02:: , correct is bank%1:17:01::
incorrect wsd for bank.n.Finance.14752 | found bank%2:40:02:: , correct is bank%1:14:00::
incorrect wsd for bank.n.Sports.103 | found bank%1:17:02:: , correct is bank%1:14:00::
